STATE,SYM_P1,SYM_P2,SYM_SEMICOLON,IDENTIFIER,OP_ASSGN,SYM_SB1,SYM_SB2,KEYWD_IF,SYM_B1,SYM_B2,KEYWD_ELSE,KEYWD_ELIF,KEYWD_FOR,KEYWD_IN,OP_COMMA,KEYWD_WHILE,KEYWD_DO,KEYWD_RETURN,KEYWD_BREAK,KEYWD_CONTINUE,KEYWD_SELECT,KEYWD_CASE,OP_TERN1,KEYWD_DEFAULT,KEYWD_DEF,OP_FUNC,KEYWD_INT,KEYWD_FLOAT,KEYWD_CHAR,KEYWD_BOOL,KEYWD_VOID,KEYWD_STRING,INT_LIT,FLOAT_LITERAL,CHAR_LIT,STR_LIT,KEYWD_TRUE,KEYWD_FALSE,OP_AR_add,OP_AR_sub,OP_AR_mul,OP_AR_div,OP_AR_mod,OP_REL_gt,OP_REL_ge,OP_REL_lt,OP_REL_le,OP_REL_eq,OP_REL_neq,OP_LOG_and,OP_LOG_or,OP_LOG_not,OP_BIT_and,OP_BIT_or,OP_BIT_ls,OP_BIT_rs,OP_BIT_xor,OP_ASSGN1,OP_ASSGN2,OP_ASSGN3,OP_ASSGN4,OP_ASSGN5,OP_ASSGN6,OP_ASSGN7,OP_ASSGN8,OP_INCR,OP_DECR,OP_BIT4,$
0,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc
2,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3
3,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3
4,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r44,,,r44,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r49,,,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,r50,,,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,r51,,,r51,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,r52,,,r52,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r53,,,r53,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r54,,,r54,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2
15,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,s27,,,s25,,,r48,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
18,r17,r17,,r17,,,,r17,r17,,,r17,r17,,,r17,r17,r17,r17,r17,r17,r17,,r17,r17,,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,r17,r17,r17,r17
19,,,,,,,,,,r38,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,r47,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
23,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
24,,r57,r57,,,,r57,,,r57,,,,,r57,,,,,,,,r57,,,,,,,,,,,,,,,,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,
25,,r58,r58,,,,r58,,s46,r58,,,,,r58,,,,,,,,r58,,,,,,,,,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,
